chrom	chrom_key	start	end	window_length	DNA_bp	DNA_density	Helitron_bp	Helitron_density	LINE_bp	LINE_density	LTR_bp	LTR_density	SINE_bp	SINE_density	Unknown_bp	Unknown_density	GENE_bp	GENE_density
CP002684.1	1	0	1000000	1000000	49068	0.049068	30622	0.030622	29913	0.029913	80394	0.080394	1575	0.001575	26184	0.026184	3722888	3.722888
CP002684.1	1	100000	1100000	1000000	54120	0.05412	33711	0.033711	28381	0.028381	20525	0.020525	1587	0.001587	27759	0.027759	3685413	3.685413
CP002684.1	1	200000	1200000	1000000	55278	0.055278	32642	0.032642	29432	0.029432	18130	0.01813	1587	0.001587	28857	0.028857	3629273	3.629273
CP002684.1	1	300000	1300000	1000000	58223	0.058223	33139	0.033139	27793	0.027793	20385	0.020385	1270	0.00127	31508	0.031508	3506377	3.506377
CP002684.1	1	400000	1400000	1000000	64760	0.06476	29621	0.029621	23551	0.023551	29602	0.029602	943	0.000943	31340	0.03134	3463860	3.46386
CP002684.1	1	500000	1500000	1000000	72347	0.072347	31305	0.031305	30040	0.03004	31441	0.031441	618	0.000618	31329	0.031329	3426889	3.426889
CP002684.1	1	600000	1600000	1000000	72616	0.072616	29772	0.029772	32178	0.032178	39230	0.03923	775	0.000775	31151	0.031151	3444983	3.444983
CP002684.1	1	700000	1700000	1000000	77347	0.077347	32310	0.03231	32827	0.032827	92592	0.092592	777	0.000777	28869	0.028869	3403905	3.403905
CP002684.1	1	800000	1800000	1000000	76151	0.076151	30396	0.030396	33869	0.033869	120689	0.120689	453	0.000453	25706	0.025706	3320362	3.320362
CP002684.1	1	900000	1900000	1000000	91800	0.0918	32420	0.03242	43336	0.043336	150748	0.150748	625	0.000625	28011	0.028011	3213319	3.213319
CP002684.1	1	1000000	2000000	1000000	94623	0.094623	38725	0.038725	52146	0.052146	173828	0.173828	625	0.000625	27611	0.027611	3140516	3.140516
CP002684.1	1	1100000	2100000	1000000	94728	0.094728	37142	0.037142	61647	0.061647	204321	0.204321	613	0.000613	25486	0.025486	3080963	3.080963
CP002684.1	1	1200000	2200000	1000000	103964	0.103964	37091	0.037091	67297	0.067297	222101	0.222101	905	0.000905	27788	0.027788	3012067	3.012067
CP002684.1	1	1300000	2300000	1000000	106419	0.106419	39093	0.039093	64814	0.064814	243943	0.243943	1029	0.001029	26694	0.026694	2987833	2.987833
CP002684.1	1	1400000	2400000	1000000	103234	0.103234	42283	0.042283	75899	0.075899	258896	0.258896	1196	0.001196	24715	0.024715	2942879	2.942879
CP002684.1	1	1500000	2500000	1000000	94390	0.09439	42911	0.042911	74407	0.074407	301282	0.301282	1376	0.001376	24210	0.02421	2944735	2.944735
