chrom	chrom_key	start	end	window_length	Copia_bp	Copia_density	Gypsy_bp	Gypsy_density	GENE_bp	GENE_density
CP002684.1	1	0	1000000	1000000	23542	0.023542	56852	0.056852	3722888	3.722888
CP002684.1	1	100000	1100000	1000000	15966	0.015966	4559	0.004559	3685413	3.685413
CP002684.1	1	200000	1200000	1000000	13571	0.013571	4559	0.004559	3629273	3.629273
CP002684.1	1	300000	1300000	1000000	12989	0.012989	7396	0.007396	3506377	3.506377
CP002684.1	1	400000	1400000	1000000	24341	0.024341	5261	0.005261	3463860	3.46386
CP002684.1	1	500000	1500000	1000000	24176	0.024176	7265	0.007265	3426889	3.426889
CP002684.1	1	600000	1600000	1000000	30498	0.030498	8732	0.008732	3444983	3.444983
CP002684.1	1	700000	1700000	1000000	36812	0.036812	55780	0.05578	3403905	3.403905
CP002684.1	1	800000	1800000	1000000	41888	0.041888	78801	0.078801	3320362	3.320362
CP002684.1	1	900000	1900000	1000000	41876	0.041876	108872	0.108872	3213319	3.213319
CP002684.1	1	1000000	2000000	1000000	48493	0.048493	125335	0.125335	3140516	3.140516
CP002684.1	1	1100000	2100000	1000000	55936	0.055936	148385	0.148385	3080963	3.080963
CP002684.1	1	1200000	2200000	1000000	71574	0.071574	150527	0.150527	3012067	3.012067
CP002684.1	1	1300000	2300000	1000000	95288	0.095288	148655	0.148655	2987833	2.987833
CP002684.1	1	1400000	2400000	1000000	94684	0.094684	164212	0.164212	2942879	2.942879
CP002684.1	1	1500000	2500000	1000000	96802	0.096802	204480	0.20448	2944735	2.944735
CP002684.1	1	1600000	2600000	1000000	94105	0.094105	226290	0.22629	2908946	2.908946
CP002684.1	1	1700000	2700000	1000000	98020	0.09802	185106	0.185106	2902834	2.902834
CP002684.1	1	1800000	2800000	1000000	104514	0.104514	178726	0.178726	2936294	2.936294
CP002684.1	1	1900000	2900000	1000000	113236	0.113236	220542	0.220542	2942299	2.942299
CP002684.1	1	2000000	3000000	1000000	108325	0.108325	230473	0.230473	2961986	2.961986
CP002684.1	1	2100000	3100000	1000000	105234	0.105234	282146	0.282146	2910694	2.910694
CP002684.1	1	2200000	3200000	1000000	97483	0.097483	361733	0.361733	2871060	2.87106
CP002684.1	1	2300000	3300000	1000000	74152	0.074152	412415	0.412415	2854507	2.854507
CP002684.1	1	2400000	3400000	1000000	65422	0.065422	456084	0.456084	2868701	2.868701
CP002684.1	1	2500000	3500000	1000000	65117	0.065117	464504	0.464504	2821724	2.821724
CP002684.1	1	2600000	3600000	1000000	61743	0.061743	530627	0.530627	2739939	2.739939
CP002684.1	1	2700000	3700000	1000000	62307	0.062307	615723	0.615723	2705447	2.705447
CP002684.1	1	2800000	3800000	1000000	53259	0.053259	681537	0.681537	2621984	2.621984
CP002684.1	1	2900000	3900000	1000000	45527	0.045527	720434	0.720434	2581123	2.581123
CP002684.1	1	3000000	4000000	1000000	43209	0.043209	792215	0.792215	2533999	2.533999
CP002684.1	1	3100000	4100000	1000000	46562	0.046562	764898	0.764898	2524423	2.524423
CP002684.1	1	3200000	4200000	1000000	47871	0.047871	784518	0.784518	2508528	2.508528
CP002684.1	1	3300000	4300000	1000000	63430	0.06343	818427	0.818427	2460082	2.460082
CP002684.1	1	3400000	4400000	1000000	59720	0.05972	818911	0.818911	2416151	2.416151
