chrom	chrom_key	start	end	window_length	ATHILA_bp	ATHILA_density	REINA_bp	REINA_density	TAT_bp	TAT_density	TEKAY-DEL_bp	TEKAY-DEL_density	Unknown_bp	Unknown_density	GENE_bp	GENE_density
CP002684.1	1	0	1000000	1000000	1964	0.001964	1306	0.001306	19389	0.019389	25671	0.025671	8522	0.008522	3722888	3.722888
CP002684.1	1	100000	1100000	1000000	1964	0.001964	1306	0.001306	616	0.000616	0	0.0	673	0.000673	3685413	3.685413
CP002684.1	1	200000	1200000	1000000	1964	0.001964	1306	0.001306	616	0.000616	0	0.0	673	0.000673	3629273	3.629273
CP002684.1	1	300000	1300000	1000000	2447	0.002447	1472	0.001472	616	0.000616	0	0.0	2861	0.002861	3506377	3.506377
CP002684.1	1	400000	1400000	1000000	1173	0.001173	166	0.000166	736	0.000736	0	0.0	3186	0.003186	3463860	3.46386
CP002684.1	1	500000	1500000	1000000	1173	0.001173	166	0.000166	736	0.000736	1158	0.001158	4032	0.004032	3426889	3.426889
CP002684.1	1	600000	1600000	1000000	1173	0.001173	166	0.000166	736	0.000736	1158	0.001158	5499	0.005499	3444983	3.444983
CP002684.1	1	700000	1700000	1000000	17994	0.017994	166	0.000166	11794	0.011794	17744	0.017744	8082	0.008082	3403905	3.403905
CP002684.1	1	800000	1800000	1000000	22986	0.022986	5423	0.005423	16893	0.016893	20112	0.020112	13387	0.013387	3320362	3.320362
CP002684.1	1	900000	1900000	1000000	42900	0.0429	5423	0.005423	18885	0.018885	20521	0.020521	21143	0.021143	3213319	3.213319
CP002684.1	1	1000000	2000000	1000000	46486	0.046486	5423	0.005423	30754	0.030754	20521	0.020521	22151	0.022151	3140516	3.140516
CP002684.1	1	1100000	2100000	1000000	48900	0.0489	11285	0.011285	40535	0.040535	20657	0.020657	27008	0.027008	3080963	3.080963
CP002684.1	1	1200000	2200000	1000000	48900	0.0489	11285	0.011285	40535	0.040535	20657	0.020657	29150	0.02915	3012067	3.012067
CP002684.1	1	1300000	2300000	1000000	48601	0.048601	11119	0.011119	40535	0.040535	20657	0.020657	27743	0.027743	2987833	2.987833
CP002684.1	1	1400000	2400000	1000000	55921	0.055921	11119	0.011119	43205	0.043205	20657	0.020657	33310	0.03331	2942879	2.942879
CP002684.1	1	1500000	2500000	1000000	79812	0.079812	11828	0.011828	55929	0.055929	19499	0.019499	37412	0.037412	2944735	2.944735
CP002684.1	1	1600000	2600000	1000000	88099	0.088099	11828	0.011828	61116	0.061116	27436	0.027436	37811	0.037811	2908946	2.908946
CP002684.1	1	1700000	2700000	1000000	74666	0.074666	11828	0.011828	50240	0.05024	10850	0.01085	37522	0.037522	2902834	2.902834
CP002684.1	1	1800000	2800000	1000000	77299	0.077299	7095	0.007095	49333	0.049333	9397	0.009397	35602	0.035602	2936294	2.936294
CP002684.1	1	1900000	2900000	1000000	109835	0.109835	7548	0.007548	48927	0.048927	18355	0.018355	35877	0.035877	2942299	2.942299
CP002684.1	1	2000000	3000000	1000000	121169	0.121169	9361	0.009361	45176	0.045176	18355	0.018355	36412	0.036412	2961986	2.961986
CP002684.1	1	2100000	3100000	1000000	184573	0.184573	3499	0.003499	40777	0.040777	18968	0.018968	34329	0.034329	2910694	2.910694
CP002684.1	1	2200000	3200000	1000000	221638	0.221638	3499	0.003499	70855	0.070855	23536	0.023536	42205	0.042205	2871060	2.87106
CP002684.1	1	2300000	3300000	1000000	249271	0.249271	5177	0.005177	70855	0.070855	24720	0.02472	62392	0.062392	2854507	2.854507
CP002684.1	1	2400000	3400000	1000000	281121	0.281121	5177	0.005177	83655	0.083655	26023	0.026023	60108	0.060108	2868701	2.868701
CP002684.1	1	2500000	3500000	1000000	294940	0.29494	4468	0.004468	75646	0.075646	29248	0.029248	60202	0.060202	2821724	2.821724
CP002684.1	1	2600000	3600000	1000000	336707	0.336707	4468	0.004468	93519	0.093519	26525	0.026525	69408	0.069408	2739939	2.739939
CP002684.1	1	2700000	3700000	1000000	381243	0.381243	4468	0.004468	122553	0.122553	29316	0.029316	78143	0.078143	2705447	2.705447
CP002684.1	1	2800000	3800000	1000000	413966	0.413966	4298	0.004298	152000	0.152	29231	0.029231	82042	0.082042	2621984	2.621984
CP002684.1	1	2900000	3900000	1000000	426140	0.42614	11108	0.011108	174320	0.17432	26693	0.026693	82173	0.082173	2581123	2.581123
CP002684.1	1	3000000	4000000	1000000	456233	0.456233	13883	0.013883	203799	0.203799	28108	0.028108	90192	0.090192	2533999	2.533999
CP002684.1	1	3100000	4100000	1000000	426564	0.426564	17444	0.017444	199055	0.199055	29871	0.029871	91964	0.091964	2524423	2.524423
CP002684.1	1	3200000	4200000	1000000	456968	0.456968	17444	0.017444	183955	0.183955	29104	0.029104	97047	0.097047	2508528	2.508528
CP002684.1	1	3300000	4300000	1000000	487864	0.487864	16414	0.016414	191657	0.191657	34833	0.034833	87659	0.087659	2460082	2.460082
CP002684.1	1	3400000	4400000	1000000	486512	0.486512	16414	0.016414	196457	0.196457	33530	0.03353	85998	0.085998	2416151	2.416151
CP002684.1	1	3500000	4500000	1000000	510561	0.510561	18085	0.018085	202603	0.202603	30827	0.030827	89436	0.089436	2372219	2.372219
CP002684.1	1	3600000	4600000	1000000	514143	0.514143	18085	0.018085	199285	0.199285	33186	0.033186	89274	0.089274	2351483	2.351483
CP002684.1	1	3700000	4700000	1000000	488946	0.488946	19051	0.019051	169756	0.169756	41161	0.041161	87885	0.087885	2325141	2.325141
CP002684.1	1	3800000	4800000	1000000	501696	0.501696	20417	0.020417	153285	0.153285	42209	0.042209	92786	0.092786	2319292	2.319292
