seqid	n_annotations	annotated_bp	overlap_events	overlap_bp	overlap_percent
BK010421.1	31	13687	4	1267	9.2570
CP002684.1	3722	2540877	525	101301	3.9869
CP002685.1	3610	2502222	484	73137	2.9229
CP002686.1	3738	2639416	483	94717	3.5886
CP002687.1	3018	2302311	382	66372	2.8828
CP002688.1	3637	2705614	445	69996	2.5871
