chrom	chrom_key	start	end	window_length	ALE-RETROFIT_bp	ALE-RETROFIT_density	BIANCA_bp	BIANCA_density	IVANA-ORYCO_bp	IVANA-ORYCO_density	SIRE_bp	SIRE_density	TAR-TORK_bp	TAR-TORK_density	Unknown_bp	Unknown_density	GENE_bp	GENE_density
CP002684.1	1	0	1000000	1000000	5964	0.005964	10709	0.010709	484	0.000484	0	0.0	4956	0.004956	1429	0.001429	3722888	3.722888
CP002684.1	1	100000	1100000	1000000	5335	0.005335	4281	0.004281	301	0.000301	0	0.0	4372	0.004372	1677	0.001677	3685413	3.685413
CP002684.1	1	200000	1200000	1000000	3763	0.003763	4281	0.004281	301	0.000301	0	0.0	3651	0.003651	1575	0.001575	3629273	3.629273
CP002684.1	1	300000	1300000	1000000	3148	0.003148	4281	0.004281	569	0.000569	0	0.0	3416	0.003416	1575	0.001575	3506377	3.506377
CP002684.1	1	400000	1400000	1000000	5322	0.005322	12198	0.012198	569	0.000569	0	0.0	3395	0.003395	2857	0.002857	3463860	3.46386
CP002684.1	1	500000	1500000	1000000	5157	0.005157	12198	0.012198	569	0.000569	0	0.0	3395	0.003395	2857	0.002857	3426889	3.426889
CP002684.1	1	600000	1600000	1000000	10723	0.010723	12198	0.012198	569	0.000569	0	0.0	3743	0.003743	3265	0.003265	3444983	3.444983
CP002684.1	1	700000	1700000	1000000	12408	0.012408	15507	0.015507	569	0.000569	1158	0.001158	3743	0.003743	3427	0.003427	3403905	3.403905
CP002684.1	1	800000	1800000	1000000	12634	0.012634	18698	0.018698	779	0.000779	1930	0.00193	4003	0.004003	3844	0.003844	3320362	3.320362
CP002684.1	1	900000	1900000	1000000	12160	0.01216	18698	0.018698	478	0.000478	1930	0.00193	4419	0.004419	4191	0.004191	3213319	3.213319
CP002684.1	1	1000000	2000000	1000000	15176	0.015176	14417	0.014417	4847	0.004847	1930	0.00193	8288	0.008288	3835	0.003835	3140516	3.140516
CP002684.1	1	1100000	2100000	1000000	16672	0.016672	15496	0.015496	4847	0.004847	1930	0.00193	13026	0.013026	3965	0.003965	3080963	3.080963
CP002684.1	1	1200000	2200000	1000000	20550	0.02055	19398	0.019398	4847	0.004847	4314	0.004314	17448	0.017448	5017	0.005017	3012067	3.012067
CP002684.1	1	1300000	2300000	1000000	20550	0.02055	22671	0.022671	5876	0.005876	17666	0.017666	21573	0.021573	6952	0.006952	2987833	2.987833
CP002684.1	1	1400000	2400000	1000000	17083	0.017083	14754	0.014754	13253	0.013253	17666	0.017666	26258	0.026258	5670	0.00567	2942879	2.942879
CP002684.1	1	1500000	2500000	1000000	19201	0.019201	14754	0.014754	13253	0.013253	17666	0.017666	26258	0.026258	5670	0.00567	2944735	2.944735
CP002684.1	1	1600000	2600000	1000000	13635	0.013635	14754	0.014754	13253	0.013253	17666	0.017666	28549	0.028549	6248	0.006248	2908946	2.908946
CP002684.1	1	1700000	2700000	1000000	11950	0.01195	14019	0.014019	13253	0.013253	16508	0.016508	34493	0.034493	7797	0.007797	2902834	2.902834
CP002684.1	1	1800000	2800000	1000000	21658	0.021658	10828	0.010828	13954	0.013954	15736	0.015736	34370	0.03437	7968	0.007968	2936294	2.936294
CP002684.1	1	1900000	2900000	1000000	25710	0.02571	10828	0.010828	14584	0.014584	15736	0.015736	38927	0.038927	7451	0.007451	2942299	2.942299
CP002684.1	1	2000000	3000000	1000000	27553	0.027553	10828	0.010828	11595	0.011595	18261	0.018261	32703	0.032703	7385	0.007385	2961986	2.961986
CP002684.1	1	2100000	3100000	1000000	30030	0.03003	9749	0.009749	11724	0.011724	18261	0.018261	28463	0.028463	7007	0.007007	2910694	2.910694
CP002684.1	1	2200000	3200000	1000000	25475	0.025475	8391	0.008391	11724	0.011724	15877	0.015877	29720	0.02972	6296	0.006296	2871060	2.87106
CP002684.1	1	2300000	3300000	1000000	25891	0.025891	5118	0.005118	10427	0.010427	2525	0.002525	25830	0.02583	4361	0.004361	2854507	2.854507
CP002684.1	1	2400000	3400000	1000000	28196	0.028196	5118	0.005118	3816	0.003816	2525	0.002525	21406	0.021406	4361	0.004361	2868701	2.868701
CP002684.1	1	2500000	3500000	1000000	27043	0.027043	5118	0.005118	3816	0.003816	2525	0.002525	22110	0.02211	4505	0.004505	2821724	2.821724
CP002684.1	1	2600000	3600000	1000000	27043	0.027043	5118	0.005118	3816	0.003816	2655	0.002655	19471	0.019471	3640	0.00364	2739939	2.739939
CP002684.1	1	2700000	3700000	1000000	32376	0.032376	2544	0.002544	3816	0.003816	2655	0.002655	18603	0.018603	2313	0.002313	2705447	2.705447
CP002684.1	1	2800000	3800000	1000000	22442	0.022442	2544	0.002544	5427	0.005427	2655	0.002655	18466	0.018466	1725	0.001725	2621984	2.621984
CP002684.1	1	2900000	3900000	1000000	18492	0.018492	2544	0.002544	4797	0.004797	3104	0.003104	14865	0.014865	1725	0.001725	2581123	2.581123
CP002684.1	1	3000000	4000000	1000000	13633	0.013633	2544	0.002544	3417	0.003417	7094	0.007094	14311	0.014311	2210	0.00221	2533999	2.533999
CP002684.1	1	3100000	4100000	1000000	9411	0.009411	2544	0.002544	3288	0.003288	10389	0.010389	17628	0.017628	3302	0.003302	2524423	2.524423
CP002684.1	1	3200000	4200000	1000000	9733	0.009733	0	0.0	7363	0.007363	10389	0.010389	16206	0.016206	4180	0.00418	2508528	2.508528
CP002684.1	1	3300000	4300000	1000000	9748	0.009748	0	0.0	10077	0.010077	15783	0.015783	22160	0.02216	5662	0.005662	2460082	2.460082
CP002684.1	1	3400000	4400000	1000000	7153	0.007153	0	0.0	9311	0.009311	15783	0.015783	21519	0.021519	5954	0.005954	2416151	2.416151
CP002684.1	1	3500000	4500000	1000000	7510	0.00751	8579	0.008579	15298	0.015298	15783	0.015783	20815	0.020815	7328	0.007328	2372219	2.372219
CP002684.1	1	3600000	4600000	1000000	7610	0.00761	8579	0.008579	15298	0.015298	16009	0.016009	20986	0.020986	7207	0.007207	2351483	2.351483
CP002684.1	1	3700000	4700000	1000000	5554	0.005554	10334	0.010334	19527	0.019527	16009	0.016009	17228	0.017228	7453	0.007453	2325141	2.325141
CP002684.1	1	3800000	4800000	1000000	5554	0.005554	10334	0.010334	17005	0.017005	16571	0.016571	18779	0.018779	7898	0.007898	2319292	2.319292
CP002684.1	1	3900000	4900000	1000000	5574	0.005574	10334	0.010334	20832	0.020832	16122	0.016122	17407	0.017407	7898	0.007898	2329378	2.329378
CP002684.1	1	4000000	5000000	1000000	5574	0.005574	15130	0.01513	20832	0.020832	9733	0.009733	17859	0.017859	6678	0.006678	2290080	2.29008
CP002684.1	1	4100000	5100000	1000000	10658	0.010658	15130	0.01513	20832	0.020832	8125	0.008125	23002	0.023002	5695	0.005695	2299565	2.299565
