seqid	ann1_start	ann1_end	ann1_score	ann1_name	ann1_class	ann2_start	ann2_end	ann2_score	ann2_name	ann2_class	overlap_start	overlap_end	overlap_length
BK010421.1	76932	77292	618	LTR_175-int	LTR/Copia	77150	77310	318	LTR_264-int	LTR/Copia	77150	77292	143
BK010421.1	86556	86738	261	LTR_274-int	LTR/Copia	86689	86832	238	LTR_244-int	LTR/Copia	86689	86738	50
BK010421.1	132691	133355	1304	LTR_245-int	LTR/Copia	132771	133459	1171	LTR_264-int	LTR/Copia	132771	133355	585
BK010421.1	254013	254590	1176	LTR_182-int	LTR/Copia	254102	254600	1215	LTR_224-int	LTR/Copia	254102	254590	489
CP002684.1	17010	17258	1767	Helitron_17	RC/Helitron	17256	18642	10472	Helitron_17	RC/Helitron	17256	17258	3
CP002684.1	540433	540986	3935	TIR_17	Unknown	540893	541001	564	LTR_15-LTR	LTR/Gypsy	540893	540986	94
CP002684.1	634247	634464	1676	TIR_30	DNA/PIF-Harbinger	634455	634569	758	TIR_30	DNA/PIF-Harbinger	634455	634464	10
CP002684.1	2472899	2473131	1630	TIR_17	Unknown	2473112	2473306	1317	TIR_17	Unknown	2473112	2473131	20
CP002684.1	2531451	2531711	2058	TIR_82	DNA/hAT	2531707	2532375	5769	TIR_82	DNA/hAT	2531707	2531711	5
CP002684.1	2532584	2533385	979	TIR_63	DNA/hAT	2533299	2534163	7615	TIR_82	DNA/hAT	2533299	2533385	87
CP002684.1	3073312	3074697	9995	Helitron_17	RC/Helitron	3074695	3074943	1724	Helitron_17	RC/Helitron	3074695	3074697	3
CP002684.1	3782633	3783510	882	LTR_274-int	LTR/Copia	3782777	3783524	961	LTR_242-int	LTR/Copia	3782777	3783510	734
CP002684.1	4111235	4111394	297	TIR_13	DNA/PIF-Harbinger	4111240	4111418	262	TIR_10	Unknown	4111240	4111394	155
CP002684.1	4331263	4331420	405	TIR_33	DNA/TcMar	4331403	4331556	242	TIR_98	DNA/MULE	4331403	4331420	18
CP002684.1	4334122	4334368	231	TIR_33	DNA/TcMar	4334181	4334391	678	TIR_33	DNA/TcMar	4334181	4334368	188
CP002684.1	4519911	4520010	299	LTR_165-int	LTR/Copia	4519922	4520022	291	TIR_63	DNA/hAT	4519922	4520010	89
CP002684.1	5657945	5659134	9866	Helitron_33	RC/Helitron	5659120	5659268	1089	Helitron_33	RC/Helitron	5659120	5659134	15
